like_count,COMMENTS,RATING,URATING,comment_count,created_time,bad_word_count
33,i thought i was the only one I was so stressed out by eating my popcorn that i waited until the loud scenes to touch the bag i was more stressed by the eating noises than by the movie plot,3,3,3,1,
4,once i was in a theater watching a horror movie with my gf she was having popcorn and scary scene came i tried to cuddle her she slapped and she threw the tub on me people thought she got scared and i got saved from humiliation,1,3,4,1,
0,was the movie awesome though,2,3,0,2,
3,i prefer doing this while watching a horror movie,3,3,0,1,
0,patricia brittany emily nathan kim how would yous go with being in a quiet cinema Some of you talk during the movie,2,3,1,1,
0,people who eat popcorn during a movie are always the enemy i hate them so much,2,3,0,1,
0,so advanced alien animals have blade which can cut though steel or iron last scene when she shoots one has blood flowing when its dead but in all of its creation history does not have photorecepters wtf,1,3,0,1,
1,When Jim takes the game Jinx a little too far arrowroot powder organic for skinand no soda machines are around,3,3,0,1,
2,thank goodness i saw this early  spoilers and hype everywhere would have messed with my expectation ps  yes our popcorn ended up uneaten how could you eat when you even forgot to breathe,3,3,0,1,
0,Saw it with some friends in this weekend and oml my friend had some plastic wrap but my attention was at her chocolate bar more than the screen not because I wanted a chocolate bar but because I was so used to silence,2,3,0,1,
1,kenny we had to chew our snacks in sync with the sounds lol,3,3,1,1,
0,at last a place where bf n husbands can get some peace even when their spouses are nearby,3,3,0,1,
0,lol i watched the movie eating mine popcorn was better then the movie,3,3,0,1,
0,jake staples we should see this in the cheap theater for our anniversary with the gift card we got for christmas,3,3,0,1,
0,pipo paul when i had to take out a napkin to wipe my snot had to say sorry 5 times,3,3,0,1,
0,rebecca corven michelle spoelder me eating popcorn and then getting hiccups ,3,3,1,1,
0,see how scary it is Lets watch will be fun  oh oh oh we should take someone wholl cry easily too faustina wong,3,3,0,1,
0,jesse petronis we have to see this,3,3,1,1,
0,this is good for people who are being friendzoned,3,3,0,1,
0,we should all go watch it this weekend wendy maldonado josh garza,3,3,0,1,
0,julio campos navarro keep your crunchy as hell nachos out of the movie theater ,3,3,0,1,
0,nope there were kids crying and people laughing where i watched it sukhmeet kaur,3,3,0,1,
0,juan jonathan maria read the comments lol,3,3,0,1,
5,thank the lord that you had the idea to start a band mr tedder where would we be without onerepublic,3,3,0,1,
4,hold this line and you may possibly get me shelling out attention in the near future as well,3,3,0,1,
0,best songs fpr all the time thank you one republic,3,3,0,1,
0,i think he was born on a mushroom ,3,3,0,0,
1,i have a joke so i told god i hate attention He said oh yeah you have my job now,3,3,0,0,
0,their best decision ever,3,3,0,1,
1,hey ryan,3,3,0,0,
1,so cute ,3,3,0,0,
0,bring native 2 again,2,3,0,0,
0,this video is amazing,3,3,0,1,
0,so happy they became a band and a awesome one at that,3,3,0,1,
1,have it ,3,3,0,1,
0,im thrilled zack didnt say no,3,3,0,1,
0,i want to see more ,2,3,0,1,
0,do u have it in vhs or beta,3,3,0,1,
0,happy easter,3,3,0,1,
1,hee hee hee stuff happens outside of la lots lol,3,3,0,1,
1,have it ,3,3,0,1,
6,if you dont announce european tour dates Ill not buy anything,2,3,0,1,
1,wow that long sleeve is everything ,3,3,0,1,
0,yeah not necessarily too stale have contemplated this exact topic to some degree,3,3,0,1,
0,nice t shirts but what about a baseball cap as well ,3,3,0,0,
0,oh man what are yall doing to my wallet,3,3,0,1,
0,fiiiiiirst oneeeeee ,3,3,0,0,
1,bit sleaze dumped by bay lol,3,2,0,1,
1,very cool,3,3,0,0,
0,such bad designs,3,1,0,0,
0,i already have mine the black one,3,3,0,1,
0,love it,3,3,0,0,
0,where are european tour dates,3,3,0,1,
0,i like that,3,3,0,1,
0,i hope he loses methi and modi loses varanasi and then eventually both lose their lives and leave the country at peace,2,1,0,1,
0,bsnl bilkul bekar hi,3,3,0,1,
0,india me jab bhi koi Peace ki baat kerta hai bjp ko usme hamesha piece nazar aata hai,3,1,0,1,
0,it seems may be or might be or perhaps or probably he wants the place to be given to pakistan,3,2,1,1,
0,add Punjab too in this paece border,3,2,2,1,
0,after some pakistani supporters death only piece will return,1,1,0,1,
0,do u have any takers anywhere,2,3,0,1,
0,game started after phalistinens death and militant evacuation then started chemical attack,2,3,0,1,
0,the beginning of love is to let those we love be perfectly themselves and not to twist them to fit our own image otherwise we love only the reflection of ourselves we find in them,3,3,0,1,
0,it cannot be anyone accept us,3,3,0,1,
0,this could so easily escalate lol,3,3,0,1,
0,trying is different from doing and doing is different from doing at the peak from doing in right time too late the hero is played by machail cain and sean connary  see the video,3,3,0,1,
0,may be if adhar success to evm but bananas must be defeated by modiji is confirmed evm will not work,3,2,0,1,
1,when modi ji loses varanasi seat maa ganga will make india shining like bfr in reigns of congress n upa govt of the people  by the people n for the people,3,3,0,1,
2,ndtv has congress supporting people particular community has one place for solace lol congress is world famous in ndtv facebook page,3,3,0,1,
42,its a sad day for golf when a looser like reed can win the masters,3,3,51,1,
1,who cares tiger winni g would have brought golf back Should have rigged it like all the other sports bye bye golf ,3,3,7,1,
